word,bits,freq
apery,4.9425507,39.483529
apgar,3.8935957,54.280549
aphid,4.365995,8290.464516
aphis,4.92471,3059.328137
apian,4.1832676,110.156906
aping,4.447229,1212.981934
apiol,4.90451,96.454366
apish,4.769473,317.903983
apism,4.8107653,2.670147
apnea,4.4645457,6954.184045
apode,5.0011873,5.532234
apods,5.1179466,4.510397
apols,5.3149877,1.783130
apoop,3.2338398,1.471998
aport,5.0031743,136.563803
appal,3.235614,831.386809
appam,3.003835,20.959248
appay,3.0913918,6.313426
appel,4.296213,1621.348978
apple,4.289431,98437.140704
apply,3.7478004,794955.184413
appro,4.081866,5005.165611
appts,4.3486233,161.649486
appui,3.7497017,508.240858
appuy,3.5834563,14.374703
apres,5.7546024,2632.106497
apron,4.9735975,26294.596540
apses,4.8109508,862.477556
apsis,4.5129595,238.357164
apsos,4.5029225,12.362826
apted,4.9610834,103.984099
apter,5.226191,544.352268
aptly,4.5760193,18204.116898
aquae,3.710855,797.581457
aquas,3.8216276,242.555765
araba,3.4518335,126.316687
araks,4.6005683,2.797429
arame,4.6346893,64.115956
arars,4.171518,6.977435
arbah,3.8823125,6.508782
arbas,4.6134396,14.914494
arbor,4.158994,7421.778433
arced,5.143553,1040.306959
archi,4.5744143,1197.655266
arcos,5.430644,42.837552
arcus,5.1982927,751.422554
ardeb,4.9882097,56.572499
ardor,4.330051,9368.186846
ardri,4.2442236,8.560564
aread,4.6343455,59.639482
areae,4.1825647,198.702899
areal,4.7165217,8483.898659
arear,4.0042562,59.600366
areas,5.195324,1648395.986401
areca,4.4690795,1019.962002
aredd,4.437529,4.507590
arede,4.6405435,18.952638
arefy,4.715122,3.482836
areic,5.176399,9.919103
arena,4.6933203,51093.566583
arene,4.796134,1044.949560
arepa,4.491834,36.147846
arere,4.0512457,44.709007
arete,4.8464155,837.692686
arets,5.8470316,40.423281
arett,4.655238,7.160356
argal,4.1271954,61.525552
argan,4.1358757,128.203298
argil,4.88373,201.397618
argle,5.177934,25.836609
argol,4.8723545,183.209966
argon,4.8619113,20286.609263
argot,4.920229,1137.751730
argue,5.012348,194293.783403
argus,5.1164646,734.100786
arhat,4.1824574,295.646390
arias,5.060432,3352.093339
ariel,5.6033697,150.172248
ariki,4.1072984,250.042003
arils,5.683264,154.459420
ariot,5.3314633,9.759616
arise,5.773867,281712.699892
arish,5.1608343,346.896022
arith,4.9843707,316.711919
arked,5.0138116,107.615723
arled,5.397614,5.953699
arles,5.9857817,246.701835
armed,5.182146,250336.983846
armer,4.5623627,330.790750
armet,5.3561354,42.442062
armil,5.006883,10.300398
armor,4.2918816,36540.303299
arnas,4.94577,9.925273
arnis,5.6839733,61.303949
arnut,5.021161,2.054219
aroba,4.2184443,13.894072
aroha,4.2507505,105.778257
aroid,5.2066665,122.306315
aroma,4.341136,15654.109013
arose,5.753285,167533.732264
arpas,4.728233,8.909453
arpen,5.281065,11.973402
arrah,3.5120068,47.937523
arras,4.241911,1496.969662
array,3.63688,145889.680883
arret,4.8586993,350.788448
arris,4.9779096,517.604075
arrow,4.0014787,75995.143709
arroz,3.813301,317.975889
arsed,5.5894704,303.915733
arses,5.2233076,467.473805
arsey,5.5522685,18.062043
arsis,4.9360943,274.732355
arson,5.407879,12045.509410
artal,4.4478335,6.220620
artel,5.497406,364.371227
arter,4.762409,1903.492747
artic,4.9393535,625.465644
artis,5.6853466,923.113960
artly,4.962183,245.870551
artsy,5.1529484,606.881042
aruhe,5.0452404,16.708850
arums,5.2467422,104.530361
arval,3.8609922,30.002301
arvee,4.3006053,1.479271
arvos,5.0864024,2.508847
aryls,5.3039284,75.898000
asada,3.5669122,107.991444
asana,3.7185998,559.348508
ascon,4.8739753,17.450685
ascot,4.9343705,210.383767
ascus,4.155761,1242.693557
asdic,4.6863623,178.174949
ashed,4.9597397,1040.571804
ashen,5.0942745,3816.115020
ashes,4.597845,61092.935636
ashet,5.1512766,17.135811
aside,5.3329935,346240.454975
asity,5.0118203,7.306342
askar,4.1994133,49.010186
asked,4.927374,1655205.770840
asker,5.1857686,289.241601
askew,4.584365,2684.976269
askoi,4.7853675,38.524773
askos,4.2808623,87.548843
aspen,5.2121544,9619.190313
asper,5.333531,819.448564
aspic,4.6372066,791.506722
aspie,5.289526,37.095681
aspis,4.425035,153.821278
aspro,5.024455,62.608391
assai,3.7111454,505.464096
assam,3.4494908,37.983242
assay,3.5006096,62604.770280
assed,4.5652695,2453.277160
asses,4.1838164,11069.394653
asset,4.7570467,134410.312893
assez,4.017849,1141.919457
assot,4.445105,19.253198
aster,5.5499997,8120.021737
astir,5.293593,1915.952149
astun,4.89954,2.696352
asura,4.3948803,316.490546
asway,3.752566,16.224748
aswim,4.4274187,28.663282
asyla,4.130191,18.686301
ataps,4.481728,10.601732
ataxy,3.3202991,443.100941
atigi,3.8824818,7.797905
atilt,4.2910314,62.407009
atimy,4.6163025,3.824302
atlas,4.7300806,15776.583321
atman,4.0216475,1088.299287
atmas,4.4934654,6.384636
atmos,5.224255,1431.654620
atocs,5.2027745,1.504585
atoke,4.997826,9.013027
atoks,5.111634,1.262919
atoll,4.2563405,3570.467647
atoms,5.228399,159437.534203
atomy,4.6320014,131.014672
atone,5.337795,7286.110243
atony,4.853327,1369.512494
atopy,4.6395617,868.006709
atria,4.5212226,3357.288962
atrip,4.938866,124.320556
attap,3.2301478,111.771878
attar,3.6248653,681.540799
attas,3.9287694,23.964899
atter,4.6314583,2486.590161
attic,3.9292843,19893.832733
atuas,4.6027703,14.970663
aucht,4.343612,387.704350
audad,3.3301873,3.275645
audax,3.3468246,232.259445
audio,4.799177,65904.696606
audit,4.8322606,117189.349520
augen,4.930809,879.007720
auger,5.053626,6399.286823
auges,5.397489,33.622080
aught,4.2677145,16343.277851
augur,3.8819866,2775.079911
aulas,4.7587695,46.767117
aulic,4.7185936,144.148242
auloi,4.957905,47.053738
aulos,5.462614,275.321349
aumil,4.7831926,26.418067
aunes,5.7319994,33.907253
aunts,5.380246,10605.427303
aunty,4.764488,886.829600
aurae,4.8077784,86.206305
aural,4.418435,8507.177228
aurar,3.709163,34.897589
auras,4.9068856,1366.339285
aurei,5.436538,362.406994
